ID,Country,Country_ID,ISO2,ISO3,ADMIN1_NAME,ADMIN1_CODE,ADMIN2_NAME,ADMIN2_CODE,IU_NAME,IU_ID,LocationName,Longitude,Latitude,Georeliability,LocationType,SurveyYear,Period,Method_0,Method_1,Method_2,Examined,Positive,Prevalence,Source,Funding,Composite_IU_ID,elevation,dist_water,MEANndvi,Sdndvi,MAXndvi,MINndvi
727,Cameroon,7,CM,CMR,LITTORAL,822,Japoma,7510,Japoma,7510,Léproserie Dibamba,9.82472222,4.0325,1,Village,2005,2001 - 2005,Mapping,RAPLOA,Questionnaire,57,16,0.280701754,APOC,APOC,ACMR0082207510,0.037,0.741999983787537,0.676531866761441,0.114283455221757,0.861024299662124,0.38644108568507
581,Cameroon,7,CM,CMR,EST,820,ABONG MBANG,7459,ABONG MBANG,7459,DJOUYAYA,13.33333333,3.78333333,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,79,59,0.746835443,APOC,APOC,ACMR0082007459,0.736,84.8889999389649,0.766311147129866,0.068174614167791,0.907181842440414,0.608054033405161
788,Cameroon,7,CM,CMR,NORD,823,TOUBORO,7541,TOUBORO,7541,KARANG PANDJAMA,15.360290000000001,7.67821,1,Village,2010,2006 - 2010,Mapping,RAPLOA,Questionnaire,80,0,0,APOC,APOC,ACMR0082307541,0.59,7.42199993133545,0.516921878277319,0.175253974917656,0.766021910424834,0.270026967284051
929,Cameroon,7,CM,CMR,SUD,826,AMBAM,7581,AMBAM,7581,Mekomo,11.3629,2.36166667,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,80,59,0.7375,APOC,APOC,ACMR0082607581,0.599,6.86299991607666,0.759079787249861,0.08010833929049,0.903451713253941,0.523830207794259
793,Cameroon,7,CM,CMR,NORD OUEST,824,BAFUT,7543,BAFUT,7543,Oshie,10.08833333,6.31,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,84,9,0.107142857,APOC,APOC,ACMR0082407543,1.037,5.64300012588501,0.706129808413256,0.128288509774957,0.861782151405859,0.43010755014968
879,Cameroon,7,CM,CMR,NORD OUEST,824,TUBAH,7559,TUBAH,7559,Babanki Tungo,10.46666667,6.08444444,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,98,14,0.142857143,APOC,APOC,ACMR0082407559,1.183,11.5050001144409,0.594311056374327,0.133580668705903,0.773165616913892,0.345378725212399
804,Cameroon,7,CM,CMR,NORD OUEST,824,BATIBO,7546,BATIBO,7546,Diche I,9.77833333,6.06833333,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,94,23,0.244680851,APOC,APOC,ACMR0082407546,1.088,23.9549999237061,0.717180244051872,0.095530940520068,0.851853782721183,0.498532708842483
1051,Cameroon,7,CM,CMR,SUD,826,OLAMZE,7588,OLAMZE,7588,Yos,11.07571667,2.23223333,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,80,58,0.725,APOC,APOC,ACMR0082607588,0.567,4.46799993515015,0.768920406962417,0.067187705411279,0.915753204213467,0.572113773615986
944,Cameroon,7,CM,CMR,SUD,826,AMBAM,7581,AMBAM,7581,Bitoto,10.67156667,2.40115,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,80,43,0.5375,APOC,APOC,ACMR0082607581,0.533,8.88700008392334,0.767423275590246,0.069816806417996,0.925336902242136,0.57760448561118
453,Cameroon,7,CM,CMR,CENTRE,819,ESEKA,7439,ESEKA,7439,Mom,11.17379,3.59783,1,Village,2010,2006 - 2010,Mapping,RAPLOA,Questionnaire,80,49,0.6125,APOC,APOC,ACMR0081907439,0.661,8.21199989318848,0.759438706064545,0.076716216591471,0.877350579280985,0.569190444169866
635,Cameroon,7,CM,CMR,EST,820,DOUME,7463,DOUME,7463,AYENE,13.56666667,4.4,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,80,50,0.625,APOC,APOC,ACMR0082007463,0.665,23.806999206543,0.763061007464094,0.071842529521783,0.878841125249482,0.559405023072443
976,Cameroon,7,CM,CMR,SUD,826,DJOUM,7582,DJOUM,7582,MINKUMU,11.96167,2.39835,1,Village,2009,2006 - 2010,Mapping,RAPLOA,Questionnaire,80,61,0.7625,APOC,APOC,ACMR0082607582,0.642,15.7299995422363,0.759558822487897,0.074178177660056,0.915764882750986,0.570464653275345
883,Cameroon,7,CM,CMR,NORD OUEST,824,WUM,7560,WUM,7560,Gayama,9.95,6.78333333,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,89,62,0.696629213,APOC,APOC,ACMR0082407560,0.933,4.26700019836426,0.638637812807798,0.151005291277318,0.817475283286571,0.33684800882782
345,Cameroon,7,CM,CMR,ADAMAOUA,818,BANKIM,7420,BANKIM,7420,TONG,11.2444,6.46222,1,Village,2010,2006 - 2010,Mapping,RAPLOA,Questionnaire,80,14,0.175,APOC,APOC,ACMR0081807420,0.766,20.0349998474121,0.674989923919769,0.142190588884828,0.830055438381231,0.410877171260144
1138,Cameroon,7,CM,CMR,SUD OUEST,827,KUMBA,7599,KUMBA,7599,Kake II,9.41299,4.61537,1,Village,2010,2006 - 2010,Mapping,RAPLOA,Questionnaire,80,16,0.2,APOC,APOC,ACMR0082707599,0.231,4.10799980163574,0.705236468122501,0.093626325932838,0.840350045630802,0.457514311200932
930,Cameroon,7,CM,CMR,SUD,826,AMBAM,7581,AMBAM,7581,Nlong,11.39381667,2.34055,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,79,61,0.772151899,APOC,APOC,ACMR0082607581,0.601,4.08300018310547,0.759079787249861,0.08010833929049,0.903451713253941,0.523830207794259
414,Cameroon,7,CM,CMR,ADAMAOUA,818,NGAOUNDERE URBAIN,7426,NGAOUNDERE URBAIN,7426,DIBI,13.72122,7.14474,1,Village,2010,2006 - 2010,Mapping,RAPLOA,Questionnaire,80,0,0,APOC,APOC,ACMR0081807426,1.226,3.29800009727478,0.595395275437236,0.155633416903546,0.821622204913014,0.360662423092065
